"Recorded Crime Offences (Number) by Type of Offence, Garda Station and"
"Year"

" "," ","2015"
"03 ,Attempts/threats to murder, assaults, harassments and related offences"
" ","Abbeyfeale, Limerick Division",11
" ","Abbeyleix, Laois/Offaly Division",3
" ","Adare, Limerick Division",1
" ","Aglish, Waterford Division",1
" ","Ahascragh, Galway Division",8
" ","Ailt an Chorraiin, Donegal Division",1
" ","An Bun Beag, Donegal Division",6
" ","An Charraig, Donegal Division",0
" ","An Cheathru Rua, Galway Division",4
" ","An Clochain Liath, Donegal Division",7
" ","An Coirean, Kerry Division",3
" ","An Craoslach, Donegal Division",0
" ","An Fail Carrach, Donegal Division",3
" ","An Maim, Galway Division",1
" ","An Rinn, Waterford Division",0
" ","An Spideal, Galway Division",0
" ","Anglesea Street, Cork City Division",99
" ","Annascaul, Kerry Division",0
" ","Aran More, Galway Division",13
" ","Ard an Raitha, Donegal Division",2
" ","Ardee, Louth Division",20
" ","Ardfert, Kerry Division",2
" ","Ardfinnan, Tipperary Division",2
" ","Ardmore, Waterford Division",3
" ","Ardnacrusha, Limerick Division",8
" ","Ardrahan, Galway Division",2
" ","Arklow, Wicklow Division",33
" ","Arles, Laois/Offaly Division",2
" ","Arva, Cavan/Monaghan Division",1
" ","Ashbourne, Meath Division",32
" ","Ashford, Wicklow Division",18
" ","Askeaton, Limerick Division",4
" ","Athea, Limerick Division",0
" ","Athenry, Galway Division",7
" ","Athleague, Roscommon/Longford Division",1
" ","Athlone, Westmeath Division",55
" ","Athy, Kildare Division",39
" ","Aughrim, Wicklow Division",2
" ","Avoca, Wicklow Division",5
" ","Baile AÅtha Bui, Meath Division",13
" ","Baile an FheirtÈaraigh, Kerry Division",1
" ","Baile Bhuirne, Cork West Division",0
" ","Bailieboro, Cavan/Monaghan Division",17
" ","Balbriggan, D.M.R. Northern Division",44
" ","Balla, Mayo Division",0
" ","Ballaghderreen, Roscommon/Longford Division",8
" ","Ballina, Mayo Division",38
" ","Ballinagh, Cavan/Monaghan Division",2
" ","Ballinamore, Sligo/Leitrim Division",1
" ","Ballinasloe, Galway Division",35
" ","Ballincollig, Cork City Division",13
" ","Ballindine, Mayo Division",0
" ","Ballineen, Cork West Division",3
" ","Ballingarry North, Tipperary Division",0
" ","Ballingarry South, Tipperary Division",4
" ","Ballingarry, Limerick Division",1
" ","Ballinhassig, Cork West Division",6
" ","Ballinlough, Roscommon/Longford Division",1
" ","Ballinrobe, Mayo Division",10
" ","Ballintra, Donegal Division",0
" ","Ballivor, Meath Division",1
" ","Ballon, Kilkenny/Carlow Division",2
" ","Ballybay, Cavan/Monaghan Division",5
" ","Ballybofey, Donegal Division",17
" ","Ballybunion, Kerry Division",6
" ","Ballyconnell, Cavan/Monaghan Division",14
" ","Ballycotton, Cork North Division",0
" ","Ballycroy, Mayo Division",0
" ","Ballycullane, Wexford Division",5
" ","Ballydehob, Cork West Division",3
" ","Ballydesmond, Cork West Division",0
